Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.100-116.203.251.58-58519-443-6,192.168.8.100,58519,116.203.251.58,443,6,23/08/2020 09:07:49 AM,377519,2,4,146.0,509.0,146.0,0.0,73.0,103.23759005323593,301.0,31.0,127.24999999999999,122.83966514661837,1735.0120126404233,15.893239810446627,75503.8,56326.50248950311,153168.0,47.0,153168.0,153168.0,0.0,153168.0,153168.0,377519.0,125839.66666666666,160447.83658664062,306531.0,47.0,0,1,0,0,40,80,5.297746603482209,10.595493206964418,0.0,301.0,111.57142857142857,100.07806476755557,10015.619047619048,0,0,0,1,1,0,0,0,2.0,130.16666666666666,73.0,127.25,0,0,0,0,0,0,2,146,4,509,-1,62,1,0,0,0,0,0,0,0,0,0,No Label
151.106.0.201-192.168.8.100-444-58520-6,151.106.0.201,444,192.168.8.100,58520,6,23/08/2020 09:07:49 AM,381803,3,7,151.0,534.0,151.0,0.0,50.333333333333336,87.1798906476335,342.0,0.0,76.28571428571428,126.51707959232787,1794.1189566347043,26.191517615105173,42422.555555555555,28557.711651632344,84788.0,63.0,123188.0,61594.0,14768.632231862231,72037.0,51151.0,381803.0,63633.83333333333,62938.12017344232,180004.0,4166.0,0,1,0,0,60,140,7.857455284531552,18.33406233057362,0.0,342.0,74.18181818181819,107.79871815733078,11620.563636363639,0,0,0,1,1,0,0,0,2.0,81.6,50.333333333333336,76.28571428571429,0,0,0,0,0,0,3,151,7,534,-1,510,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-116.203.251.58-58519-443-6,192.168.8.100,58519,116.203.251.58,443,6,23/08/2020 09:07:49 AM,4249,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.6989879971758,4249.0,0.0,4249.0,4249.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,235.3494939985879,235.3494939985879,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,509,0,0,0,0,0,0,0,0,0,0,No Label
151.106.0.201-192.168.8.100-444-58520-6,151.106.0.201,444,192.168.8.100,58520,6,23/08/2020 09:07:49 AM,9136,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.91418563922943,9136.0,0.0,9136.0,9136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,109.45709281961472,109.45709281961472,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,208,0,0,0,0,0,0,0,0,0,0,No Label
151.106.0.201-192.168.8.100-444-58518-6,151.106.0.201,444,192.168.8.100,58518,6,23/08/2020 09:07:49 AM,578170,5,6,569.0,730.0,426.0,0.0,113.8,184.25037313395052,725.0,0.0,121.66666666666667,295.57852876463585,2246.7440372208866,19.02554611965339,57817.0,57877.76250378417,176249.0,124.0,559091.0,139772.75,146416.77946277196,351115.0,16075.0,578170.0,115634.0,41502.98480832433,176249.0,64973.0,0,0,0,0,100,120,8.64797550893336,10.377570610720031,0.0,725.0,108.25,230.72578174888986,53234.38636363635,0,0,0,0,1,0,0,0,1.0,118.0909090909091,113.8,121.66666666666667,0,0,0,0,0,0,5,569,6,730,-1,64855,3,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-69.31.136.5-58517-443-6,192.168.8.100,58517,69.31.136.5,443,6,23/08/2020 09:07:49 AM,559207,3,4,421.0,858.0,421.0,0.0,140.33333333333331,243.06446332883246,725.0,0.0,214.5,346.06020670783096,2287.167363784788,12.517725994130975,93201.16666666666,84347.57729162509,179380.0,49.0,408217.0,204108.5,34971.38007714308,228837.0,179380.0,331928.0,110642.66666666666,90861.16070320329,174385.0,6602.0,0,1,0,0,60,80,5.364739711770418,7.152986282360557,0.0,725.0,176.5,264.3120450203833,69860.85714285714,0,0,0,1,1,0,0,0,1.0,201.71428571428572,140.33333333333334,214.5,0,0,0,0,0,0,3,421,4,858,-1,83,1,0,0,0,0,0,0,0,0,0,No Label
151.106.0.201-192.168.8.100-444-58506-6,151.106.0.201,444,192.168.8.100,58506,6,23/08/2020 09:07:50 AM,2448,1,1,5.0,36.0,5.0,5.0,5.0,0.0,36.0,36.0,36.0,0.0,16748.366013071896,816.9934640522875,2448.0,0.0,2448.0,2448.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,408.4967320261438,408.4967320261438,5.0,36.0,25.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,38.5,5.0,36.0,0,0,0,0,0,0,1,5,1,36,-1,125,1,0,0,0,0,0,0,0,0,0,No Label
151.106.0.201-192.168.8.100-444-58506-6,192.168.8.100,58506,151.106.0.201,444,6,23/08/2020 09:07:50 AM,43,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,23255.81395348837,23255.81395348837,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,511,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-20.190.129.11-58505-443-6,192.168.8.100,58505,20.190.129.11,443,6,23/08/2020 09:07:50 AM,2542,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,12195.121951219513,786.7820613690008,2542.0,0.0,2542.0,2542.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,393.3910306845004,393.3910306845004,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-20.190.129.11-58505-443-6,20.190.129.11,443,192.168.8.100,58505,6,23/08/2020 09:07:50 AM,244,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8196.72131147541,244.0,0.0,244.0,244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4098.360655737705,4098.360655737705,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1019,0,0,0,0,0,0,0,0,0,0,No Label
