Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
176.9.40.135-192.168.8.100-444-49470-6,176.9.40.135,444,192.168.8.100,49470,6,18/08/2020 08:31:50 PM,240,0,2,0.0,5.0,0,0,0,0,5.0,0.0,2.5,3.5355339059327378,20833.333333333332,8333.333333333334,240.0,0.0,240.0,240.0,0,0,0,0,0,240.0,240.0,0.0,240.0,240.0,0,1,0,0,0,40,0.0,8333.333333333334,0.0,5.0,3.333333333333333,2.886751345948129,8.333333333333334,0,0,0,1,1,0,0,0,0.0,5.0,0.0,2.5,0,0,0,0,0,0,0,0,2,5,-1,64855,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-31.13.92.51-49469-443-6,192.168.8.100,49469,31.13.92.51,443,6,18/08/2020 08:31:50 PM,82689,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,24.187013992187595,82689.0,0.0,82689.0,82689.0,0,0,0,0,0,82689.0,82689.0,0.0,82689.0,82689.0,0,0,0,0,0,40,0.0,24.187013992187595,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,119,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-45.76.27.239-49463-443-6,192.168.8.100,49463,45.76.27.239,443,6,18/08/2020 08:31:54 PM,164426,0,2,0.0,475.0,0,0,0,0,475.0,0.0,237.5,335.87572106361006,2888.837531777213,12.163526449588266,164426.0,0.0,164426.0,164426.0,0,0,0,0,0,164426.0,164426.0,0.0,164426.0,164426.0,0,1,0,0,0,40,0.0,12.163526449588266,0.0,475.0,316.66666666666663,274.24137786507225,75208.33333333334,0,0,0,1,1,0,0,0,0.0,475.0,0.0,237.5,0,0,0,0,0,0,0,0,2,475,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49464-6,176.9.40.135,444,192.168.8.100,49464,6,18/08/2020 08:31:54 PM,165140,0,4,0.0,485.0,0,0,0,0,480.0,0.0,121.25000000000001,239.1782807865296,2936.902022526341,24.22187235073271,55046.66666666667,55337.531642939524,110810.0,145.0,0,0,0,0,0,165140.0,55046.66666666667,55337.531642939524,110810.0,145.0,0,1,0,0,0,80,0.0,24.22187235073271,0.0,480.0,193.0,262.0019083899963,68645.0,0,0,0,1,1,0,0,0,0.0,241.25,0.0,121.25,0,0,0,0,0,0,0,0,4,485,-1,63906,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-45.76.27.239-49463-443-6,192.168.8.100,49463,45.76.27.239,443,6,18/08/2020 08:31:54 PM,601,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3327.787021630616,601.0,0.0,601.0,601.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1663.893510815308,1663.893510815308,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49464-6,176.9.40.135,444,192.168.8.100,49464,6,18/08/2020 08:31:54 PM,312,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9615.384615384615,156.0,217.78888860545663,310.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,40,20,6410.25641025641,3205.128205128205,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,9665,0,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49476-6,192.168.8.100,49476,176.9.40.135,444,6,18/08/2020 08:31:55 PM,1904427,18,21,4344.0,1286.0,1380.0,0.0,241.3333333333333,456.71229198156993,638.0,0.0,61.238095238095234,156.70063968022106,2956.269786135147,20.47860064995928,50116.5,56579.98144686005,268764.0,1.0,1826301.0,107429.4705882353,81529.85637491768,268764.0,42.0,1904196.0,95209.79999999999,101414.97852964532,398862.0,1.0,0,0,0,0,360,436,9.451661838442744,11.026938811516535,0.0,1380.0,140.74999999999994,334.80754134814487,112096.08974358975,0,1,0,0,0,0,0,0,1.0,144.35897435897436,241.33333333333334,61.23809523809524,0,0,0,0,0,0,18,4344,21,1286,-1,21656,12,0,0,0,0,0,0,0,0,0,No Label
144.160.225.152-192.168.8.100-443-49475-6,192.168.8.100,49475,144.160.225.152,443,6,18/08/2020 08:31:55 PM,2068720,11,11,1244.0,4280.0,628.0,0.0,113.0909090909091,202.52824718811672,1380.0,0.0,389.09090909090907,586.1000690232777,2670.250203024092,10.634595305309563,98510.4761904762,124295.7055004794,478376.0,88.0,1905506.0,190550.6,138225.47693066974,478376.0,486.0,1854263.0,185426.30000000002,225875.21097034973,645188.0,453.0,0,0,0,0,244,244,5.317297652654782,5.317297652654782,0.0,1380.0,240.17391304347825,443.36437427859113,196571.96837944665,0,1,0,0,0,0,0,0,1.0,251.0909090909091,113.0909090909091,389.09090909090907,0,0,0,0,0,0,11,1244,11,4280,-1,73,4,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-23.36.239.90-49477-443-6,192.168.8.100,49477,23.36.239.90,443,6,18/08/2020 08:31:56 PM,1426316,9,13,1452.0,5813.0,938.0,0.0,161.33333333333334,302.9855607120577,1380.0,0.0,447.1538461538462,575.9338570463692,5093.541683610084,15.42435196688532,67919.80952380953,107311.72898412318,455917.0,41.0,1344882.0,168110.25000000003,141170.74783168483,455917.0,2413.0,1426316.0,118859.66666666667,169944.50403605468,537946.0,376.0,0,0,0,0,180,284,6.309962168271267,9.114389798614052,0.0,1380.0,315.86956521739137,488.670208957462,238798.5731225296,0,1,0,0,0,0,0,0,1.0,330.22727272727275,161.33333333333334,447.15384615384613,0,0,0,0,0,0,9,1452,13,5813,-1,268,4,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49478-6,192.168.8.100,49478,176.9.40.135,444,6,18/08/2020 08:31:57 PM,1344697,19,20,5897.0,1489.0,1380.0,0.0,310.36842105263156,525.0822380590932,948.0,0.0,74.44999999999999,215.44921858636127,5492.687200164795,29.00281624782386,35386.76315789473,49070.79404919045,241166.0,1.0,1269540.0,70530.0,73615.87036294631,241166.0,20.0,1057767.0,55671.94736842105,60156.047934124064,201858.0,1.0,0,0,0,0,380,448,14.129577146375725,14.873239101448133,0.0,1380.0,184.64999999999998,405.7922640199805,164667.36153846158,0,1,0,0,0,0,0,0,1.0,189.3846153846154,310.36842105263156,74.45,0,0,0,0,0,0,19,5897,20,1489,-1,192,14,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-23.36.239.90-49477-443-6,192.168.8.100,49477,23.36.239.90,443,6,18/08/2020 08:31:58 PM,445,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4494.38202247191,445.0,0.0,445.0,445.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2247.191011235955,2247.191011235955,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49478-6,176.9.40.135,444,192.168.8.100,49478,6,18/08/2020 08:31:58 PM,10902,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.452577508714,10902.0,0.0,10902.0,10902.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,91.726288754357,91.726288754357,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,186,0,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49342-6,176.9.40.135,444,192.168.8.100,49342,6,18/08/2020 08:31:50 PM,8113181,61,100,884.0,115360.0,884.0,0.0,14.491803278688524,113.18460186068005,1380.0,0.0,1153.5999999999997,446.3976349454022,14327.795719089712,19.844250978746803,50707.381250000006,489232.365266033,6192593.0,1.0,7759562.0,129326.03333333334,796512.0723254409,6192593.0,1.0,8113181.0,81951.32323232324,633599.2699847925,6315993.0,2.0,0,1,0,0,1220,2000,7.518629252817113,12.325621725929693,0.0,1380.0,722.9259259259258,657.8749862888396,432799.4975845409,0,0,0,1,1,0,0,0,1.0,727.416149068323,14.491803278688524,1153.6,0,0,0,0,0,0,61,884,100,115360,-1,63976,1,0,1842912.0,0.0,1842912.0,1842912.0,6192593.0,0.0,6192593.0,6192593.0,No Label
176.9.40.135-192.168.8.100-444-49342-6,176.9.40.135,444,192.168.8.100,49342,6,18/08/2020 08:31:58 PM,416,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7211.538461538462,208.0,291.3279938488576,414.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,40,20,4807.692307692308,2403.846153846154,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,6900,0,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49480-6,192.168.8.100,49480,176.9.40.135,444,6,18/08/2020 08:32:01 PM,1302081,15,21,5592.0,2494.0,1380.0,0.0,372.8,602.3019176459594,1300.0,0.0,118.76190476190474,320.2027333989991,6210.059128425958,27.648049545304783,37202.31428571428,56616.15205085364,266927.0,0.0,1056353.0,75453.78571428571,80204.982627859,266927.0,8.0,1302081.0,65104.049999999996,98901.59460450149,439875.0,0.0,0,0,0,0,300,436,11.520020643876993,16.12802890142779,0.0,1380.0,218.54054054054055,463.7741664619511,215086.4774774775,0,1,0,0,0,0,0,0,1.0,224.61111111111111,372.8,118.76190476190476,0,0,0,0,0,0,15,5592,21,2494,-1,20408,12,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49480-6,192.168.8.100,49480,176.9.40.135,444,6,18/08/2020 08:32:02 PM,160,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12499.999999999998,160.0,0.0,160.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6249.999999999999,6249.999999999999,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64090,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-35.227.224.91-49479-443-6,192.168.8.100,49479,35.227.224.91,443,6,18/08/2020 08:32:01 PM,1366538,11,11,2452.0,5523.0,1024.0,0.0,222.9090909090909,402.07796620691727,1380.0,0.0,502.0909090909091,661.3441546646428,5835.9152837315905,16.0990766447768,65073.23809523809,112040.97173351575,452757.0,31.0,1304260.0,130426.0,155017.89767278128,452757.0,416.0,1075406.0,107540.6,157565.93701488205,504226.0,420.0,0,0,0,0,232,244,8.0495383223884,8.0495383223884,0.0,1380.0,346.7391304347827,545.4274568372376,297491.11067193677,0,1,0,0,0,0,0,0,1.0,362.5,222.9090909090909,502.09090909090907,0,0,0,0,0,0,11,2452,11,5523,-1,258,5,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-35.227.224.91-49479-443-6,35.227.224.91,443,192.168.8.100,49479,6,18/08/2020 08:32:02 PM,446,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6726.457399103139,223.0,313.9554108468271,445.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,32,4484.304932735426,2242.152466367713,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,258,0,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49482-6,192.168.8.100,49482,176.9.40.135,444,6,18/08/2020 08:32:02 PM,941547,10,13,174.0,403.0,118.0,0.0,17.4,36.071533867518795,386.0,0.0,30.999999999999996,106.69270515519482,612.8212399381018,24.427883047792623,42797.590909090904,37893.13165011895,121576.0,30.0,867365.0,96373.88888888889,41136.99994665522,182725.0,53495.0,941439.0,78453.25,41048.70249333545,171781.0,477.0,0,0,0,0,200,276,10.620818716431575,13.807064331361047,0.0,386.0,24.04166666666666,80.7462365076226,6519.954710144925,0,1,0,0,0,0,0,0,1.0,25.08695652173913,17.4,31.0,0,0,0,0,0,0,10,174,13,403,-1,25826,7,0,0,0,0,0,0,0,0,0,No Label
159.224.33.55-192.168.8.100-20000-49481-6,192.168.8.100,49481,159.224.33.55,20000,6,18/08/2020 08:32:01 PM,1052481,5,4,381.0,135.0,381.0,0.0,76.2,170.38837988548397,118.0,0.0,33.75,56.73549741270156,490.27013314254606,8.551223252486269,131560.125,147728.74839229355,475071.0,102.0,942839.0,235709.75,160069.00887507864,475071.0,138291.0,844311.0,281437.0,261927.8709244207,582896.0,109540.0,0,0,0,0,100,104,4.750679584714593,3.8005436677716746,0.0,381.0,51.6,121.44884611317731,14749.822222222225,0,1,0,0,0,0,0,0,0.0,57.333333333333336,76.2,33.75,0,0,0,0,0,0,5,381,4,135,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
159.224.33.55-192.168.8.100-20000-49481-6,159.224.33.55,20000,192.168.8.100,49481,6,18/08/2020 08:32:03 PM,185,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10810.810810810812,185.0,0.0,185.0,185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5405.405405405406,5405.405405405406,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49484-6,192.168.8.100,49484,176.9.40.135,444,6,18/08/2020 08:32:02 PM,1984663,19,22,4008.0,1577.0,1380.0,0.0,210.94736842105263,440.72257256114335,810.0,0.0,71.68181818181817,189.69659644099758,2814.07977072178,20.65841908676687,49616.575,55695.438759467695,250716.0,1.0,1906161.0,105897.83333333334,99748.4693429664,392087.0,7.0,1984459.0,94498.04761904762,83903.84081999834,320880.0,1.0,0,0,0,0,380,456,9.573413723135866,11.085005363631003,0.0,1380.0,132.9761904761905,330.10652294744295,108970.31649245067,0,1,0,0,0,0,0,0,1.0,136.21951219512195,210.94736842105263,71.68181818181819,0,0,0,0,0,0,19,4008,22,1577,-1,21992,13,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-52.223.198.2-49483-443-6,192.168.8.100,49483,52.223.198.2,443,6,18/08/2020 08:32:02 PM,2071832,10,9,1540.0,3944.0,805.0,0.0,154.0,261.6116715031397,1380.0,0.0,438.22222222222223,570.8276398742834,2646.9327628881106,9.170627734295058,115101.77777777777,137531.39685500506,518443.0,33.0,1985676.0,220630.66666666666,148424.839359017,518443.0,55962.0,1817434.0,227179.25,234956.52629840758,606207.0,463.0,0,0,0,0,200,204,4.826646175944767,4.343981558350291,0.0,1380.0,274.20000000000005,440.36558974513315,193921.85263157892,0,1,0,0,0,0,0,0,0.0,288.63157894736844,154.0,438.22222222222223,0,0,0,0,0,0,10,1540,9,3944,-1,68,4,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-52.223.198.2-49483-443-6,52.223.198.2,443,192.168.8.100,49483,6,18/08/2020 08:32:04 PM,246,1,2,0.0,69.0,0.0,0.0,0.0,0.0,69.0,0.0,34.5,48.79036790187178,280487.8048780488,12195.121951219511,123.0,41.012193308819754,152.0,94.0,0,0,0,0,0,94.0,94.0,0.0,94.0,94.0,0,1,0,0,20,40,4065.0406504065036,8130.081300813007,0.0,69.0,34.5,39.83716857408418,1587.0,0,0,0,1,1,0,0,0,2.0,46.0,0.0,34.5,0,0,0,0,0,0,1,0,2,69,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49453-6,176.9.40.135,444,192.168.8.100,49453,6,18/08/2020 08:32:04 PM,74,0,2,0.0,5.0,0,0,0,0,5.0,0.0,2.5,3.5355339059327378,67567.56756756757,27027.027027027027,74.0,0.0,74.0,74.0,0,0,0,0,0,74.0,74.0,0.0,74.0,74.0,0,1,0,0,0,40,0.0,27027.027027027027,0.0,5.0,3.333333333333333,2.886751345948129,8.333333333333334,0,0,0,1,1,0,0,0,0.0,5.0,0.0,2.5,0,0,0,0,0,0,0,0,2,5,-1,64339,0,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49466-6,176.9.40.135,444,192.168.8.100,49466,6,18/08/2020 08:32:04 PM,190,0,2,0.0,5.0,0,0,0,0,5.0,0.0,2.5,3.5355339059327378,26315.78947368421,10526.315789473683,190.0,0.0,190.0,190.0,0,0,0,0,0,190.0,190.0,0.0,190.0,190.0,0,1,0,0,0,40,0.0,10526.315789473683,0.0,5.0,3.333333333333333,2.886751345948129,8.333333333333334,0,0,0,1,1,0,0,0,0.0,5.0,0.0,2.5,0,0,0,0,0,0,0,0,2,5,-1,64742,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-52.204.31.200-49452-443-6,192.168.8.100,49452,52.204.31.200,443,6,18/08/2020 08:32:04 PM,141309,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14.153380181021733,141309.0,0.0,141309.0,141309.0,0,0,0,0,0,141309.0,141309.0,0.0,141309.0,141309.0,0,0,0,0,0,40,0.0,14.153380181021733,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,120,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-104.108.41.30-49465-443-6,192.168.8.100,49465,104.108.41.30,443,6,18/08/2020 08:32:04 PM,80194,1,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,386.5625857296057,49.87904331994912,26731.333333333336,45983.18901874177,79828.0,75.0,0,0,0,0,0,80194.0,40097.0,56188.11904664544,79828.0,366.0,0,0,0,0,20,60,12.46976082998728,37.40928248996184,0.0,31.0,6.2,13.863621460498697,192.20000000000002,1,0,0,0,1,0,0,0,3.0,7.75,0.0,10.333333333333334,0,0,0,0,0,0,1,0,3,31,-1,245,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-23.36.239.90-49485-443-6,192.168.8.100,49485,23.36.239.90,443,6,18/08/2020 08:32:03 PM,1584282,12,14,1452.0,5813.0,512.0,0.0,121.0,180.08634292774926,1380.0,0.0,415.2142857142857,566.0974608358839,4585.67351014529,16.411219719721615,63371.28000000002,95161.93288395312,429882.0,55.0,1493004.0,135727.63636363638,123264.08768759272,429882.0,993.0,1584282.0,121867.84615384616,161418.7838191114,515710.0,603.0,0,0,0,0,264,304,7.574409101409977,8.83681061831164,0.0,1380.0,269.0740740740741,445.37425281579203,198358.22507122505,0,1,0,0,0,0,0,0,1.0,279.4230769230769,121.0,415.2142857142857,0,0,0,0,0,0,12,1452,14,5813,-1,270,5,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49486-6,192.168.8.100,49486,176.9.40.135,444,6,18/08/2020 08:32:03 PM,1492884,18,15,5887.0,1489.0,1380.0,0.0,327.05555555555554,480.17269837157323,948.0,0.0,99.26666666666668,245.676461651343,4940.772357396823,22.104865481845874,46652.62499999999,62273.015780279726,306126.0,23.0,1421335.0,83607.94117647059,81234.81658783273,306126.0,23.0,1128127.0,80580.50000000001,63469.47465787119,203955.0,502.0,0,0,0,0,360,316,12.057199353734115,10.04766612811176,0.0,1380.0,216.94117647058823,398.3922949523019,158716.4206773619,0,1,0,0,0,0,0,0,0.0,223.5151515151515,327.05555555555554,99.26666666666667,0,0,0,0,0,0,18,5887,15,1489,-1,20890,13,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-23.36.239.90-49485-443-6,192.168.8.100,49485,23.36.239.90,443,6,18/08/2020 08:32:05 PM,93,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21505.376344086024,93.0,0.0,93.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10752.688172043012,10752.688172043012,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49486-6,176.9.40.135,444,192.168.8.100,49486,6,18/08/2020 08:32:05 PM,435,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4597.701149425287,435.0,0.0,435.0,435.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2298.8505747126437,2298.8505747126437,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,20112,0,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49474-6,192.168.8.100,49474,176.9.40.135,444,6,18/08/2020 08:31:53 PM,15610655,35,39,3939.0,1299.0,1380.0,0.0,112.54285714285709,320.7365001383666,522.0,0.0,33.30769230769231,87.28994451227166,335.54005261150155,4.7403520223847115,213844.58904109584,518018.08074576233,2070945.0,24.0,1.5436621E7,454018.26470588247,691460.3664279137,2070945.0,24.0,1.5610655E7,410806.7105263158,742731.2045235989,2232880.0,133.0,0,0,0,0,700,816,2.242058388965742,2.498293633418969,0.0,1380.0,69.83999999999999,229.8042080860445,52809.974054054044,0,1,0,0,0,0,0,0,1.0,70.78378378378379,112.54285714285714,33.30769230769231,0,0,0,0,0,0,35,3939,39,1299,-1,203,24,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49474-6,192.168.8.100,49474,176.9.40.135,444,6,18/08/2020 08:32:08 PM,228,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8771.929824561403,228.0,0.0,228.0,228.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4385.964912280701,4385.964912280701,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-213.209.0.134-49473-993-6,192.168.8.100,49473,213.209.0.134,993,6,18/08/2020 08:31:53 PM,15703708,25,24,1227.0,3845.0,517.0,0.0,49.08,104.07245873268617,1380.0,0.0,160.20833333333334,390.74955608382993,322.9810437127333,3.120282165205823,327160.5833333333,602022.1292171072,2050044.0,55.0,1.5613298E7,650554.0833333334,813959.4479873176,2172027.0,219.0,1.5482415E7,673148.4782608694,744479.4228313847,2050044.0,276.0,0,0,0,0,524,500,1.591980696533583,1.5283014686722396,0.0,1380.0,101.44000000000001,283.32660608260164,80273.96571428573,0,1,0,0,0,0,0,0,0.0,103.51020408163265,49.08,160.20833333333334,0,0,0,0,0,0,25,1227,24,3845,-1,5336,11,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-213.209.0.134-49473-993-6,213.209.0.134,993,192.168.8.100,49473,6,18/08/2020 08:32:08 PM,408,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7352.941176470588,204.0,285.6711395993652,406.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,40,20,4901.9607843137255,2450.9803921568628,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,5336,0,0,0,0,0,0,0,0,0,0,No Label
128.116.123.3-192.168.8.100-443-49489-6,192.168.8.100,49489,128.116.123.3,443,6,18/08/2020 08:32:11 PM,1430232,11,13,1660.0,6783.0,1024.0,0.0,150.9090909090909,302.9866183663742,1380.0,0.0,521.769230769231,616.6911914735167,5903.238076060387,16.78049435336365,62184.00000000001,98019.82446284666,451868.0,15.0,1183769.0,118376.90000000001,128332.78653602126,451868.0,905.0,1430232.0,119186.0,164864.01595088767,530716.0,15.0,0,0,0,0,244,284,7.69105991195834,9.089434441405311,0.0,1380.0,337.72,517.204224654053,267500.21,0,1,0,0,0,0,0,0,1.0,351.7916666666667,150.9090909090909,521.7692307692307,0,0,0,0,0,0,11,1660,13,6783,-1,63,5,0,0,0,0,0,0,0,0,0,No Label
176.9.40.135-192.168.8.100-444-49490-6,192.168.8.100,49490,176.9.40.135,444,6,18/08/2020 08:32:11 PM,1364931,20,15,6862.0,1697.0,1380.0,0.0,343.1,509.4042857257774,1029.0,0.0,113.13333333333334,270.1723964610815,6270.64664807232,25.642321846305787,40145.02941176471,49893.24759529259,211780.0,12.0,1281149.0,67428.89473684212,66072.19072675545,211780.0,12.0,1098725.0,78480.35714285714,57867.12081950821,170028.0,286.0,0,0,0,0,400,324,14.652755340746163,10.989566505559623,0.0,1380.0,237.74999999999997,429.74087707428,184677.2214285714,0,1,0,0,0,0,0,0,0.0,244.54285714285714,343.1,113.13333333333334,0,0,0,0,0,0,20,6862,15,1697,-1,193,15,0,0,0,0,0,0,0,0,0,No Label
128.116.123.3-192.168.8.100-443-49489-6,192.168.8.100,49489,128.116.123.3,443,6,18/08/2020 08:32:12 PM,557,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3590.664272890485,557.0,0.0,557.0,557.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1795.3321364452424,1795.3321364452424,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,512,0,0,0,0,0,0,0,0,0,0,No Label
